QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
25,Motorcycles,S24_1578,2/24/2003 0:00
35,Motorcycles,S24_1578,4/29/2003 0:00
35,Motorcycles,S24_1578,7/1/2003 0:00
43,Motorcycles,S24_1578,8/25/2003 0:00
44,Motorcycles,S24_1578,10/10/2003 0:00
50,Motorcycles,S24_1578,10/28/2003 0:00
48,Motorcycles,S24_1578,11/11/2003 0:00
25,Motorcycles,S24_1578,11/18/2003 0:00
39,Motorcycles,S24_1578,12/1/2003 0:00
25,Motorcycles,S24_1578,1/15/2004 0:00
32,Motorcycles,S24_1578,2/20/2004 0:00
20,Motorcycles,S24_1578,4/5/2004 0:00
26,Motorcycles,S24_1578,5/18/2004 0:00
42,Motorcycles,S24_1578,6/28/2004 0:00
21,Motorcycles,S24_1578,7/23/2004 0:00
34,Motorcycles,S24_1578,8/27/2004 0:00
47,Motorcycles,S24_1578,9/30/2004 0:00
21,Motorcycles,S24_1578,10/15/2004 0:00
48,Motorcycles,S24_1578,11/2/2004 0:00
30,Motorcycles,S24_1578,11/15/2004 0:00
27,Motorcycles,S24_1578,11/23/2004 0:00
50,Motorcycles,S24_1578,1/5/2005 0:00
38,Motorcycles,S24_1578,2/2/2005 0:00
45,Motorcycles,S24_1578,3/3/2005 0:00
46,Motorcycles,S24_1578,4/8/2005 0:00
35,Motorcycles,S24_1578,5/13/2005 0:00
