QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
25,Vintage Cars,S24_4258,1/29/2003 0:00,150
26,Vintage Cars,S24_4258,3/25/2003 0:00,125
34,Vintage Cars,S24_4258,5/28/2003 0:00,99
29,Vintage Cars,S24_4258,7/16/2003 0:00,65
20,Vintage Cars,S24_4258,9/12/2003 0:00,36
42,Vintage Cars,S24_4258,10/20/2003 0:00,63
22,Vintage Cars,S24_4258,11/5/2003 0:00,56
47,Vintage Cars,S24_4258,11/13/2003 0:00,86
20,Vintage Cars,S24_4258,11/21/2003 0:00,39
33,Vintage Cars,S24_4258,12/5/2003 0:00,71
39,Vintage Cars,S24_4258,1/29/2004 0:00,89
33,Vintage Cars,S24_4258,3/10/2004 0:00,50
40,Vintage Cars,S24_4258,4/29/2004 0:00,65
46,Vintage Cars,S24_4258,6/14/2004 0:00,85
48,Vintage Cars,S24_4258,7/16/2004 0:00,88
21,Vintage Cars,S24_4258,8/17/2004 0:00,40
45,Vintage Cars,S24_4258,9/7/2004 0:00,80
33,Vintage Cars,S24_4258,10/11/2004 0:00,35
44,Vintage Cars,S24_4258,10/21/2004 0:00,49
33,Vintage Cars,S24_4258,11/5/2004 0:00,42
39,Vintage Cars,S24_4258,11/18/2004 0:00,52
39,Vintage Cars,S24_4258,11/1/2004 0:00,66
41,Vintage Cars,S24_4258,12/10/2004 0:00,70
40,Vintage Cars,S24_4258,1/20/2005 0:00,75
33,Vintage Cars,S24_4258,2/17/2005 0:00,35
28,Vintage Cars,S24_4258,5/30/2005 0:00,40
